# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = noname_model
# method = sample (Default)
#   sample
#     num_samples = 1200
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = noname_4.data.R
# init = 2 (Default)
# random
#   seed = 215976437
# output
#   file = noname_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.986797
# Diagonal elements of inverse mass matrix:
# 0.448049
-7.65168,0.99258,0.986797,2,3,0,7.67969,0.311228
-8.02423,1,0.986797,2,3,0,8.26388,0.458129
-9.0625,0.914074,0.986797,1,1,0,9.66745,0.575305
-8.41434,1,0.986797,2,3,0,8.91333,0.511661
-7.85741,0.931332,0.986797,1,3,0,8.90714,0.248008
-7.85341,1,0.986797,1,1,0,7.92566,0.248741
-7.63862,0.999504,0.986797,1,3,0,7.68704,0.32926
-7.63945,1,0.986797,1,3,0,8.62054,0.34025
-8.13382,0.714658,0.986797,2,3,0,9.28046,0.209391
-12.7151,0.81418,0.986797,1,1,0,12.7159,0.0457218
-7.74754,0.974941,0.986797,2,3,0,12.2201,0.271976
-7.72367,0.945918,0.986797,2,3,0,11.9071,0.390993
-7.69492,1,0.986797,1,1,0,7.81155,0.380126
-7.7355,1,0.986797,2,3,0,7.96714,0.394936
-7.95211,0.98665,0.986797,1,3,0,9.81151,0.232542
-7.69332,1,0.986797,2,3,0,7.96698,0.37945
-7.64097,0.99969,0.986797,1,3,0,7.96554,0.323204
-8.39314,0.957451,0.986797,1,3,0,11.3266,0.184409
-8.19181,1,0.986797,1,1,0,8.45583,0.203165
-7.63881,0.999152,0.986797,2,3,0,7.68584,0.328461
-7.81048,0.95469,0.986797,1,3,0,7.84288,0.415845
-7.69798,1,0.986797,1,1,0,7.90203,0.381395
-7.67332,0.991852,0.986797,1,3,0,7.70654,0.370012
-7.69872,1,0.986797,1,1,0,7.76087,0.381695
-7.87767,0.886939,0.986797,2,3,0,8.23985,0.431016
-8.44717,1,0.986797,1,1,0,9.05035,0.17997
-8.81829,0.502138,0.986797,1,1,0,10.4907,0.553667
-7.63818,0.997425,0.986797,2,3,0,7.8063,0.332703
-8.09174,0.886259,0.986797,1,3,0,8.1483,0.468875
-9.0682,0.916101,0.986797,1,1,0,9.39771,0.575785
-7.71143,1,0.986797,1,1,0,7.96379,0.386624
-7.84941,0.987758,0.986797,1,1,0,7.89654,0.424925
-8.10684,1,0.986797,1,1,0,8.47169,0.471168
-8.11544,0.886785,0.986797,1,1,0,8.11859,0.472458
-7.73062,1,0.986797,1,1,0,8.10928,0.393342
-7.66984,0.891191,0.986797,2,3,0,8.30647,0.368122
-8.27342,0.929287,0.986797,1,1,0,8.29339,0.195086
-7.68608,1,0.986797,1,1,0,7.75075,0.376263
-8.08972,0.905786,0.986797,1,3,0,8.12252,0.214446
-7.97128,1,0.986797,1,1,0,8.54595,0.229764
-7.77776,1,0.986797,1,1,0,7.93199,0.26439
-7.69337,1,0.986797,2,3,0,7.75004,0.289233
-8.49844,0.940232,0.986797,1,1,0,8.56208,0.175948
-9.64211,0.979191,0.986797,1,1,0,9.94387,0.114478
-8.18236,0.976146,0.986797,1,3,0,9.81168,0.204149
-8.89246,0.947612,0.986797,1,1,0,9.02039,0.149778
-7.72117,0.929576,0.986797,2,3,0,8.64611,0.390128
-7.91945,0.919841,0.986797,1,3,0,8.10807,0.237519
-7.77233,0.960971,0.986797,2,3,0,8.03682,0.405921
-7.86606,0.875287,0.986797,2,3,0,9.59944,0.42856
-7.87633,0.927911,0.986797,1,3,0,8.74591,0.244645
-7.7146,0.812156,0.986797,2,3,0,8.63819,0.281699
-7.94513,0.989981,0.986797,1,3,0,9.22996,0.233578
-8.05031,0.936248,0.986797,2,3,0,8.67261,0.219232
-8.38112,1,0.986797,1,1,0,8.68651,0.185426
-8.27066,1,0.986797,1,1,0,8.84565,0.195348
-8.51147,0.953417,0.986797,1,1,0,8.60088,0.174953
-7.67272,0.773296,0.986797,2,3,0,8.98719,0.298251
